,network,id,name,register,nativeToken,nativeReputation,dao
0,mainnet,0x0b93ba560283350d4216f29dc57e15df38d0eace,CuraDAO,registered,0x2d3ca07e3c36b9aeec572a3c625cb45a7a88984a,0xe2c2bbf97599c448aba4561006c8d5929ac08e13,0x0b93ba560283350d4216f29dc57e15df38d0eace
1,mainnet,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,dOrg,registered,0x3b2d0c1b652d5fad3a43f4ada7265371eac050d4,0x53757c07fa372d1ac873c701dccfd1ebcc563e0e,0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6
2,mainnet,0x273d0f686a53a49a0fba2a801566b19f9aaf8fcd,PrimeDAO,registered,0x40cb13628f087dfcfa6d6c717e9fbf5d5b8bd964,0x4352a94ccb3ea07e16734f66a94e94e474a50b5f,0x273d0f686a53a49a0fba2a801566b19f9aaf8fcd
3,mainnet,0x294f999356ed03347c7a23bcbcf8d33fa41dc830,Genesis Alpha,registered,0xf88bfeab7217376f33db368a3d3dc11b1433bdfb,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,0x294f999356ed03347c7a23bcbcf8d33fa41dc830
4,mainnet,0x2b8c70fffda7f3d7667f7cfede1429313886329c,ETHGlobal,registered,0xe5ac9a487f366b6092df1ab59209c4ee4f26236d,0x45413ccd9870c89980dbae9c11315a8a1c1f3f2f,0x2b8c70fffda7f3d7667f7cfede1429313886329c
5,mainnet,0x3324b516df92e78463d8b0616dd146cf6c58b0b9,efxDAO,registered,0x59beb908dcb2fa2ea3f355c5c3e83ef0bc831ffb,0x3fdbc809ddb9389d6f28edd6191e5d3e167b4118,0x3324b516df92e78463d8b0616dd146cf6c58b0b9
6,mainnet,0x39757e7cdb7022c3829195d57b29428d79593c9d,Trips Community DAO,registered,0xb8aeb358df2de578cba12f73fae16064102eb180,0x24d50ceba58a0ac802dd68e75a847d68751ab9a5,0x39757e7cdb7022c3829195d57b29428d79593c9d
7,mainnet,0x440583455bcd85ab2bd429c015d3aabcae135f0a,PolkaDAO,registered,0x0ede65cfafdb01e06dca4323cbe2f2b30d6a7c6c,0x83292075bb0aa563d082040126ff5879dfdd1f8a,0x440583455bcd85ab2bd429c015d3aabcae135f0a
8,mainnet,0x45cf7d5c503b6417d570929368b8f4c4567ad9eb,BuffiDAO,registered,0x62bb92a45e4132449cab13670d858d9320b3f9df,0x1d995a9898d20923db530d7aa505fb418e7c72dd,0x45cf7d5c503b6417d570929368b8f4c4567ad9eb
9,mainnet,0x519b70055af55a007110b4ff99b0ea33071c720a,dxDAO,registered,0x643b14f6ea235668278da5974930105852f2b7c4,0x7a927a93f221976aae26d5d077477307170f0b7c,0x519b70055af55a007110b4ff99b0ea33071c720a
10,mainnet,0x5f667f138d6c5559a0966c241c867feeaea4c28c,HackerDAO A,registered,0x793543ad25ed9d3a37adbed6d6fcd713adb49f2c,0xadf76f97085bd251849d91aea8ecfacc91c49791,0x5f667f138d6c5559a0966c241c867feeaea4c28c
11,mainnet,0x61151f7ef32c920794ed89b2545f1672266d6420,The General Store DAO,registered,0x1645fafbe0e2261d17dc6110205374b24cd5b378,0xc6a8ebc459d300794a79273265f06ea7cf72e31f,0x61151f7ef32c920794ed89b2545f1672266d6420
12,mainnet,0x6191cb94a29a3ca870adea25cd72e995303c2848,Fortmatic DAO,registered,0x399990c46dc242f7af9e6562a6c2d77758817318,0x15fe5f6779ae33db4184976f5082c9f41c9e7676,0x6191cb94a29a3ca870adea25cd72e995303c2848
13,mainnet,0x63df13b12bac071ba31b6599b8d97c82cb96a768,The Illuminati,registered,0x94cba4d4162edb9a23f970bbf44abe6da835a6c4,0x053daad11be2cbaf74ea64ad1b57094a01280ed2,0x63df13b12bac071ba31b6599b8d97c82cb96a768
14,mainnet,0x6bee9b81e434f7afce72a43a4016719315069539,Kyber DAO Exp#2,registered,0x7a334d5ba02490aa7be1307d235a4b021f8574be,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,0x6bee9b81e434f7afce72a43a4016719315069539
15,mainnet,0x70c36947837b43665ed5ea85c112aa0f72cf9fb3,Psychedelic Society DAO,registered,0x1ce602adfd669ec4525205f784f797fd5043560c,0x54664a007fa9212fdb35786b607fc103d9a36059,0x70c36947837b43665ed5ea85c112aa0f72cf9fb3
16,mainnet,0x8709962c7469fda4913ba8867964d7e592ec2c69,TuneDAO,registered,0xf426866bfee66aa4bc99283ad3e29a6daaa79bac,0xfb71f0c78811d08b55454f414549af4a7bdf2d7a,0x8709962c7469fda4913ba8867964d7e592ec2c69
17,mainnet,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,FestDAO,registered,0x11ea60aaf6b5fbe00e7dc5f0b336ed61d29b7d2c,0xcc6d1b8f2f0a1d48fbd3adba991a0b0ef8a342a2,0x8990e11b69403ea53ef2b32434bbd7dbf84b5234
18,mainnet,0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,1UP,registered,0x089eac7e3180b7995fe218c18440a0d262ae8985,0x705a7655ae5099e5bdc76bbd67dffc6d7824c0ba,0xafdd1eb2511cd891acf2bff82dabf47e0c914d24
19,mainnet,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,necDAO,registered,0x760877788e5fe5081e14f1cf07059c49efe959ba,0x9bcc45cba43cf699289fcc0f72e5095fa53bffee,0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7
20,mainnet,0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15,DAOfund,registered,0x3e8bcf4ce0a3f54d0bd1b0799f7abfc4c5b9fbae,0x462de5f48155cfb8acd76564930d737ca55e35aa,0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15
21,mainnet,0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,CENNZnet Grants DAO,registered,0x340b166e566616c2726a28e806f0c75ca1b3331e,0x0308d38c5c8ca382eddbc48403fb0fa3fd9c0c2f,0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24
22,mainnet,0xf931ff012cbff471cccb90a784e3e88b512c890a,DetroitDAO,registered,0xe6448c6502f41ee2949e0d7fa7eb3c8846f909f9,0x68ccb9a589012db8c697c3e9e1908c2adeec4bf4,0xf931ff012cbff471cccb90a784e3e88b512c890a
23,xdai,0x14b0b26210c685ec89bb847d5effed1098a2dc52,bZx Fulcrum DAO,registered,0x9a2c85ba5844a81b720d2112596369d4087b747b,0x21bbfe65e42261a8d93d6e22e9ddcc07427725f7,0x14b0b26210c685ec89bb847d5effed1098a2dc52
24,xdai,0x15c73b5bb21d6d2852dab17cef9b5ec84eaa4cc0,Celer Network,registered,0x5d0f0c875a1f6f27d1e5bd82579e384d7e730910,0x46a713a8414400ffe5dd214f923831559ffae4d4,0x15c73b5bb21d6d2852dab17cef9b5ec84eaa4cc0
25,xdai,0x1ea9426f006a6f335f753ccc4ee1d11bbd67b53f,Liquality DAO,registered,0xcdc64c253cfa3b0e1d6dfa7788fb587a80b276bf,0x08677dd09b79830d908999365fd9b956b1082286,0x1ea9426f006a6f335f753ccc4ee1d11bbd67b53f
26,xdai,0x24ea2983e3c53ddd873e4d07a3fe7f523e597910,PegaSysDAO,registered,0xba78832542d68a66ef100b9be696523b70fa6a44,0x556534c7812667eac22bafc431469f3d25f680fc,0x24ea2983e3c53ddd873e4d07a3fe7f523e597910
27,xdai,0x2b0f5e7de201068d9fb917ab86dc1c731c274411,DAOstack DAO,registered,0x0d6bd67f01cd414e366b8578cdcfd7c74c2985a8,0xa126eede6cb28be4a88254431fb36b95e03ec9f0,0x2b0f5e7de201068d9fb917ab86dc1c731c274411
28,xdai,0x2cec92ed4d1a110032a4a7e5e2abf64938cf1455,Bancor DAO,registered,0xa67c9a9d46fa2380b7d5728a4ee5b8c8b5462605,0xaea77779ee80967519b91e0ffc923a3a684fe904,0x2cec92ed4d1a110032a4a7e5e2abf64938cf1455
29,xdai,0x2e9d79165ddb22e67742789cc553e95722f96f0b,Shapeshift DAO,registered,0x306d3735e1acfb47113829e6b78cd566e88c3d50,0x6868dda8b19c7f4b5dd6791d622a2c37aace88ae,0x2e9d79165ddb22e67742789cc553e95722f96f0b
30,xdai,0x32c3bc85fa32f958323ad2c0a51839021a0f1ac2,Secret DAO,registered,0x892dffff129a81f3eb202b51e52e542afa74d140,0xd01203371cc21e7274f083d91182ced283a736d4,0x32c3bc85fa32f958323ad2c0a51839021a0f1ac2
31,xdai,0x3d91c948d5d95ee28811df26586d3268fc32223e,Unstoppable Domains DAO,registered,0x7c2135568e7bd81028792b5597222bec5df60808,0x2a1bd59cb1a674e90a726c1c710414c608ab9528,0x3d91c948d5d95ee28811df26586d3268fc32223e
32,xdai,0x4ad0b1e6320c365ddcee20018e6608b0ad0d35b5,KiaOraDAO,registered,0x3dff1f884efdf3a4ba01a6c68624300f9a52b1e3,0x047e6313613874ca03c05f5f437cad4aadbeb32d,0x4ad0b1e6320c365ddcee20018e6608b0ad0d35b5
33,xdai,0x4b88dc0533b983cfd4a042b93cdd587cba9a28e2,Lendroid Taleb,registered,0x8bde458288b3865a994985269317d08cc42fed69,0x526290e911b8f43655483304b4f7366be5a780fe,0x4b88dc0533b983cfd4a042b93cdd587cba9a28e2
34,xdai,0x4bdf38ec4528691025bfcf9fca66ed1ccca4034b,Cosmos Ethermint DAO,registered,0xb372e9ade0c3696fc833792161091a807c834ac2,0x994f5958a9a7873297d6ff184d5ae24691cd03a3,0x4bdf38ec4528691025bfcf9fca66ed1ccca4034b
35,xdai,0x5f354aa66cf9c74699afee180853b557e2a0acb6,MakerDAODAO,registered,0xff136251ab263164693b4357b01da46aa4641991,0x9871353a327d786e9c0562272743a3fa9cb3d4c7,0x5f354aa66cf9c74699afee180853b557e2a0acb6
36,xdai,0x6ba5472c9c3955c207365fba4e67918c949cc4df,The Graphâ€™s Space Traveler DAO,registered,0xda26c6550b9469f9e8f01e7b77d995984295efba,0x00df35ae4cdd2d1b65a93f8091200a6bc6454db1,0x6ba5472c9c3955c207365fba4e67918c949cc4df
37,xdai,0x6f88ff788f1fa6872057951b85830c8e44916d91,eth2,registered,0x2c769963d8d75c8e3544ff829b925e39e53b8fea,0x51f60f65afa2efba8af31779c3e7021f5ce1d990,0x6f88ff788f1fa6872057951b85830c8e44916d91
38,xdai,0x7543854e6f4d973aba1725a26e95f853c7bd24b2,Burner DAO,registered,0xd22395234858c6718619c2127f15ab88ee0961d3,0x4829802e76fce0ab5db52d20ff69062dfa2ae727,0x7543854e6f4d973aba1725a26e95f853c7bd24b2
39,xdai,0x7b0b37534ff4dd35ced569b24b09995c117f3cfd,ETC Labs DAO,registered,0xdd8f0160de40321bb5d19d33e0657a4609358714,0xdd4ef0d6990905bfe5b03861f484f811d367266b,0x7b0b37534ff4dd35ced569b24b09995c117f3cfd
40,xdai,0x7c36603e6e3e23bdb4f2af94f530d6c6bf2a4482,DappHero DAO,registered,0x506618509103d968583ed441d59e2b72a778dfce,0xdac28ee94aee323c2537b8d70c5cf57de4b8c0b0,0x7c36603e6e3e23bdb4f2af94f530d6c6bf2a4482
41,xdai,0x804dbac130778ec5b769115dc6bea9ff85237a07,Advance Colorado DAO,registered,0x8bb815829fc59a99b242d14222c8051227f82139,0x8b8586a09d983af0236fb32cc584fcdb00d20866,0x804dbac130778ec5b769115dc6bea9ff85237a07
42,xdai,0x83b1b6eb8ce069b8ea8d4a2b99eaa4f4aa7aa3e2,iExec DAO,registered,0x86a3a96ca0ff98234b8af2618befc041af7d5b8b,0x67ef4953527b16a1e9d866e9a14986ac9c5d8d7c,0x83b1b6eb8ce069b8ea8d4a2b99eaa4f4aa7aa3e2
43,xdai,0x8766cab508a87536b8691ace8814b517b95f7b75,3Box,registered,0xe358fdc9dde3eb309b3967d7c171cd981df144c9,0x49b5f4a35daa4a3005f55995cdc89aa62eb07011,0x8766cab508a87536b8691ace8814b517b95f7b75
44,xdai,0x892835aaa7694a3746e8c3342fad0ba03040b913,Metamask,registered,0xca5c5e01afee5ba515162c7edc546db138a0eb41,0x80668f9ce15b8e674d63b03d0cb62d61442c3f6d,0x892835aaa7694a3746e8c3342fad0ba03040b913
45,xdai,0x8e52aca24a59b146b11ece2c596cf6d8828cdaa9,Splunk and Whiteblock,registered,0x7ed061b576fa18cdc5f2148863c91dbbdec6add9,0xa67fc774de6fff498966c03485c13f1ec3c5297c,0x8e52aca24a59b146b11ece2c596cf6d8828cdaa9
46,xdai,0x993c67b8830dac1bfda09e8be0dce8553cf84271,InterPlanetary DAO,registered,0xb3d7be0ace70c2465ae2f112677f07a29fc572c8,0x0dbf5007bd46f827d71cb03bd365ab5bb9c85758,0x993c67b8830dac1bfda09e8be0dce8553cf84271
47,xdai,0xb3d9283ec311ea93ed9e56dce1cf7a15da071512,QuorumDAO,registered,0x04b1d1474e905b2acc21d46c8d298e919538bb36,0xda75188fcaa9d3729ab1daff9c662c661f81745e,0xb3d9283ec311ea93ed9e56dce1cf7a15da071512
48,xdai,0xba754aed4afb3cd2e7a865913cea619bd51bd65b,MythX DAO,registered,0xf0ce7cbd31f7bd7775a318de42db6da09f7f1b5a,0xedd1d08f225abb364d9e2ede239077bdbdd6cc1f,0xba754aed4afb3cd2e7a865913cea619bd51bd65b
49,xdai,0xc09ae92f62d0484ea68151eb2c9d50f71ec475ff,Fortmatic DAO,registered,0x271a522bd429e198ba67da6b30408dbfb875e362,0x33dcec8a2c24779cd4a395788072ae24d209c714,0xc09ae92f62d0484ea68151eb2c9d50f71ec475ff
50,xdai,0xc5d0dd92b9277f45085f66b2bef9380426cd3419,Chainlink EthDenver DAO,registered,0xe19ac167c086a0469a31e03ea8ed116710331311,0xc6fc64822f039c0bffa999c2b5cc48b646e1b105,0xc5d0dd92b9277f45085f66b2bef9380426cd3419
51,xdai,0xc9dab2f97aa454a2264fd0d7b3718579d5f01eba,Infura Gateway DAO,registered,0x1b13ad64600802f279006836453787802549ba7e,0xb5f6630ecaba81633e3fc6056929d9bbdb73034f,0xc9dab2f97aa454a2264fd0d7b3718579d5f01eba
52,xdai,0xe248a76a4a84667c859eb51b9af6dea29e52f139,BuffiDAO,registered,0x96c993b81425920466fc8401ae40e82159138640,0x7905f89e877e16822c46fe7509bb61a6e0ae3af1,0xe248a76a4a84667c859eb51b9af6dea29e52f139
53,xdai,0xe716ec63c5673b3a4732d22909b38d779fa47c3f,xDXdao,registered,0xf255b9d83db924820ee23a7dcc30b7542e201bb1,0xed77eaa9590cfce0a126bab3d8a6ada9a393d4f6,0xe716ec63c5673b3a4732d22909b38d779fa47c3f
54,xdai,0xeed417f80cd918ce65b8e141daa00704aef98a90,Gitcoin: Shillin and Chillin DAO,registered,0x77c0e789654711a7f45ac9180227e507e6cca97c,0x1c6b461f2d295630046a5a13c4c7ab9b6c7b58ca,0xeed417f80cd918ce65b8e141daa00704aef98a90
55,xdai,0xef25b64d4bdbe23f1bb5e557b5d24f12c46da0bc,KyberHackDAO,registered,0x148a1d76756f9515c08158628f69156503d439b2,0x4f9adedb801e86ed53dbbf2c307eec4c616a9306,0xef25b64d4bdbe23f1bb5e557b5d24f12c46da0bc
56,xdai,0xf902172bd2f34a6cf86d424f0440836d2d89afeb,Unilogin,registered,0xed42532652ba4603cb617ebc59462ed23db85cbb,0x564eae1b8961b3b564340880da1d3d44572f0571,0xf902172bd2f34a6cf86d424f0440836d2d89afeb
57,xdai,0xfd4a08ba1863718d92467ad05f13b352c3ae2cfd,Arbitrum DAO,registered,0x20fb26fe1b17711521f73df4b7922009c8d5d2cc,0x9617279096a667ca9f0aabc8a97d33b84481f6b7,0xfd4a08ba1863718d92467ad05f13b352c3ae2cfd
